uniprot|disease_name|effect_text|disease_description
O00238|Brachydactyly A1, D|The disease is caused by mutations affecting the gene represented in this entry.|A form of brachydactyly type A1. Brachydactyly defines a group of inherited malformations characterized by shortening of the digits due to abnormal development of the phalanges and/or the metacarpals. Brachydactyly type A1 is characterized by middle phalanges of all the digits rudimentary or fused with the terminal phalanges. The proximal phalanges of the thumbs and big toes are short. BDA1D inheritance is autosomal dominant.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary hypertension, primary, 1|The disease is caused by mutations affecting the gene represented in this entry.|A rare disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs.
Q13873|Pulmonary venoocclusive disease 1, autosomal dominant|The disease is caused by mutations affecting the gene represented in this entry.|A disease characterized by widespread fibrous obstruction and intimal thickening of septal veins and preseptal venules, a low diffusing capacity for carbon monoxide, occult alveolar hemorrhage, and nodular ground-glass opacities, septal lines and lymph node enlargement showed by high-resolution computed tomography of the chest. It is frequently associated with pulmonary capillary dilatation and proliferation, and is a rare and devastating cause of pulmonary hypertension.
Q13873|Pulmonary venoocclusive disease 1, autosomal dominant|The disease is caused by mutations affecting the gene represented in this entry.|A disease characterized by widespread fibrous obstruction and intimal thickening of septal veins and preseptal venules, a low diffusing capacity for carbon monoxide, occult alveolar hemorrhage, and nodular ground-glass opacities, septal lines and lymph node enlargement showed by high-resolution computed tomography of the chest. It is frequently associated with pulmonary capillary dilatation and proliferation, and is a rare and devastating cause of pulmonary hypertension.
P15056||Defects in BRAF are found in a wide range of cancers.|
P15056|Colorectal cancer|The disease may be caused by mutations affecting the gene represented in this entry.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P15056|Colorectal cancer|The disease may be caused by mutations affecting the gene represented in this entry.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P15056|Colorectal cancer|The disease may be caused by mutations affecting the gene represented in this entry.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P15056|Colorectal cancer|The disease may be caused by mutations affecting the gene represented in this entry.|A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history.
P15056|Lung cancer|The gene represented in this entry is involved in disease pathogenesis.|A common malignancy affecting tissues of the lung. The most common form of lung cancer is non-small cell lung cancer (NSCLC) that can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. NSCLC is often diagnosed at an advanced stage and has a poor prognosis.
P15056|Familial non-Hodgkin lymphoma |The gene represented in this entry is involved in disease pathogenesis.|Cancer that starts in cells of the lymph system, which is part of the bodys immune system. NHLs can occur at any age and are often marked by enlarged lymph nodes, fever and weight loss.
P15056|Cardiofaciocutaneous syndrome 1|The disease is caused by mutations affecting the gene represented in this entry.|A multiple congenital anomaly disorder characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices.
P15056|Cardiofaciocutaneous syndrome 1|The disease is caused by mutations affecting the gene represented in this entry.|A multiple congenital anomaly disorder characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices.
P15056|Cardiofaciocutaneous syndrome 1|The disease is caused by mutations affecting the gene represented in this entry.|A multiple congenital anomaly disorder characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices.
P15056|Cardiofaciocutaneous syndrome 1|The disease is caused by mutations affecting the gene represented in this entry.|A multiple congenital anomaly disorder characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices.
P15056|Noonan syndrome 7|The disease is caused by mutations affecting the gene represented in this entry.|A form of Noonan syndrome, a disease characterized by short stature, facial dysmorphic features such as hypertelorism, a downward eyeslant and low-set posteriorly rotated ears, and a high incidence of congenital heart defects and hypertrophic cardiomyopathy. Other features can include a short neck with webbing or redundancy of skin, deafness, motor delay, variable intellectual deficits, multiple skeletal defects, cryptorchidism, and bleeding diathesis. Individuals with Noonan syndrome are at risk of juvenile myelomonocytic leukemia, a myeloproliferative disorder characterized by excessive production of myelomonocytic cells.
P15056|LEOPARD syndrome 3|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by lentigines, electrocardiographic conduction abnormalities, ocular hypertelorism, pulmonic stenosis, abnormalities of genitalia, retardation of growth, and sensorineural deafness.
P15056||A chromosomal aberration involving BRAF is found in pilocytic astrocytomas. A tandem duplication of 2 Mb at 7q34 leads to the expression of a KIAA1549-BRAF fusion protein with a constitutive kinase activity and inducing cell transformation.|
Q9Y616|Asthma-related traits 5|Disease susceptibility is associated with variations affecting the gene represented in this entry.|Asthma-related traits include clinical symptoms of asthma, such as coughing, wheezing, dyspnea, bronchial hyperresponsiveness as assessed by methacholine challenge test, serum IgE levels, atopy and atopic dermatitis.
Q9NWZ3|Recurrent isolated invasive pneumococcal disease 1|The disease is caused by mutations affecting the gene represented in this entry.|Recurrent invasive pneumococcal disease (IPD) is defined as two episodes of IPD occurring at least 1 month apart, whether caused by the same or different serotypes or strains. Recurrent IPD occurs in at least 2% of patients in most series, making IPD the most important known risk factor for subsequent IPD.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
Q9NWZ3|IRAK4 deficiency|The disease is caused by mutations affecting the gene represented in this entry.|Causes extracellular pyogenic bacterial and fungal infections in otherwise healthy children.
P53667||LIMK1 is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region.|
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
Q5S007|Parkinson disease 8|The disease is caused by mutations affecting the gene represented in this entry.|A slowly progressive neurodegenerative disorder characterized by bradykinesia, rigidity, resting tremor, postural instability, neuronal loss in the substantia nigra, and the presence of neurofibrillary MAPT (tau)-positive and Lewy bodies in some patients.
P04049|Noonan syndrome 5|The disease is caused by mutations affecting the gene represented in this entry.|A form of Noonan syndrome, a disease characterized by short stature, facial dysmorphic features such as hypertelorism, a downward eyeslant and low-set posteriorly rotated ears, and a high incidence of congenital heart defects and hypertrophic cardiomyopathy. Other features can include a short neck with webbing or redundancy of skin, deafness, motor delay, variable intellectual deficits, multiple skeletal defects, cryptorchidism, and bleeding diathesis. Individuals with Noonan syndrome are at risk of juvenile myelomonocytic leukemia, a myeloproliferative disorder characterized by excessive production of myelomonocytic cells.
P04049|Noonan syndrome 5|The disease is caused by mutations affecting the gene represented in this entry.|A form of Noonan syndrome, a disease characterized by short stature, facial dysmorphic features such as hypertelorism, a downward eyeslant and low-set posteriorly rotated ears, and a high incidence of congenital heart defects and hypertrophic cardiomyopathy. Other features can include a short neck with webbing or redundancy of skin, deafness, motor delay, variable intellectual deficits, multiple skeletal defects, cryptorchidism, and bleeding diathesis. Individuals with Noonan syndrome are at risk of juvenile myelomonocytic leukemia, a myeloproliferative disorder characterized by excessive production of myelomonocytic cells.
P04049|Noonan syndrome 5|The disease is caused by mutations affecting the gene represented in this entry.|A form of Noonan syndrome, a disease characterized by short stature, facial dysmorphic features such as hypertelorism, a downward eyeslant and low-set posteriorly rotated ears, and a high incidence of congenital heart defects and hypertrophic cardiomyopathy. Other features can include a short neck with webbing or redundancy of skin, deafness, motor delay, variable intellectual deficits, multiple skeletal defects, cryptorchidism, and bleeding diathesis. Individuals with Noonan syndrome are at risk of juvenile myelomonocytic leukemia, a myeloproliferative disorder characterized by excessive production of myelomonocytic cells.
P04049|LEOPARD syndrome 2|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by lentigines, electrocardiographic conduction abnormalities, ocular hypertelorism, pulmonic stenosis, abnormalities of genitalia, retardation of growth, and sensorineural deafness.
P04049|Cardiomyopathy, dilated 1NN|The disease is caused by mutations affecting the gene represented in this entry.|A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death.
Q13546|Immunodeficiency 57 |The disease is caused by mutations affecting the gene represented in this entry. RIPK1-deficient immune cells from IMD57 patients have impaired proinflammatory signaling leading to dysregulated cytokine secretion and are prone to necroptosis.|An autosomal recessive primary immunodeficiency characterized by lymphopenia and recurrent viral, bacterial, and fungal infections. Patients exhibit early-onset inflammatory bowel disease involving the upper and lower gastrointestinal tract, and develop progressive polyarthritis.
P57078|Bartsocas-Papas syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal recessive disorder characterized by multiple popliteal pterygia leading to severe arthrogryposis, ankyloblepharon filiforme adnatum, filiform bands between the jaws, synostosis of the carpal/tarsal and phalangeal bones in the hands and feet, digital hypoplasia/aplasia, complete soft-tissue syndactyly, lack of nails, lack of scalp hair, eyebrows and eyelashes, blepharophimosis, cleft lip and/or palate, and hypoplastic external genitalia. Early lethality is common, although survival into childhood and beyond has been reported.
P57078|Bartsocas-Papas syndrome|The disease is caused by mutations affecting the gene represented in this entry.|An autosomal recessive disorder characterized by multiple popliteal pterygia leading to severe arthrogryposis, ankyloblepharon filiforme adnatum, filiform bands between the jaws, synostosis of the carpal/tarsal and phalangeal bones in the hands and feet, digital hypoplasia/aplasia, complete soft-tissue syndactyly, lack of nails, lack of scalp hair, eyebrows and eyelashes, blepharophimosis, cleft lip and/or palate, and hypoplastic external genitalia. Early lethality is common, although survival into childhood and beyond has been reported.
P57078|CHAND syndrome|The disease may be caused by mutations affecting the gene represented in this entry.|An autosomal recessive syndrome characterized by ankyloblepharon, sparse, curly and woolly hair, nail dysplasia, and oral frenula.
P57078|CHAND syndrome|The disease may be caused by mutations affecting the gene represented in this entry.|An autosomal recessive syndrome characterized by ankyloblepharon, sparse, curly and woolly hair, nail dysplasia, and oral frenula.
P36897|Loeys-Dietz syndrome 1 |The disease is caused by mutations affecting the gene represented in this entry. TGFBR1 mutation Gln-487 has been reported to be associated with thoracic aortic aneurysms and dissection (TAAD) (PubMed:16791849). This phenotype, also known as thoracic aortic aneurysms type 5 (AAT5), is distinguised from LDS1 by having aneurysms restricted to thoracic aorta. It is unclear, however, if this condition is fulfilled in individuals bearing Gln-487 mutation, that is why they are considered as LDS1 by the OMIM resource.|An aortic aneurysm syndrome with widespread systemic involvement, characterized by arterial tortuosity and aneurysms, hypertelorism, and bifid uvula or cleft palate. Physical findings include prominent joint laxity, easy bruising, wide and atrophic scars, velvety and translucent skin with easily visible veins, spontaneous rupture of the spleen or bowel, and catastrophic complications of pregnancy, including rupture of the gravid uterus and the arteries, either during pregnancy or in the immediate postpartum period. Some patients have craniosynostosis, exotropy, micrognathia and retrognathia, structural brain abnormalities, and intellectual deficit.
